Judul Pelatihan,Topik,Hari Pelatihan,Jam Pelatihan Per Hari,Tanggal Awal,Tanggal Akhir,Biaya Online,Biaya Offline,Online,Offline,Lokasi Pelatihan,Contact Person,No Telepon/HP,Alamat Email
Anti Fraund Awareness,Accounting,2 Hari,8 Jam,15-May-25,16-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Laporan Keuangan,Accounting,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Analysis Laporan Keuangan,Accounting,2 Hari,8 Jam,28-Apr-25,29-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Inventory Management,Accounting,2 Hari,8 Jam,25-Aug-25,26-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Cash Flow & Treasury Managemen,Accounting,2 Hari,8 Jam,25-Aug-25,26-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Accounting,Accounting,2 Hari,8 Jam,25-Aug-25,26-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Finance For Non Finance,Accounting,2 Hari,8 Jam,23-Jan-25,24-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Life Cycle Asseement,Accounting,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Cost Control ,Accounting,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Financial Risk Management,Accounting,2 Hari,8 Jam,28-Apr-25,29-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Accounting For Non Accounting,Accounting,2 Hari,8 Jam,23-Jan-25,26-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Budgeting Cost Control,Accounting,2 Hari,8 Jam,12-May-25,13-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Akutansi Dasar Perbankan,Accounting,2 Hari,8 Jam,12-May-25,13-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Laporan Pajak,Accounting,2 Hari,8 Jam,07-Apr-25,08-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Penyusunan Harga Perkiraan Sendiri,Accounting,2 Hari,8 Jam,16-Jan-25,17-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Cost Management,Accounting,2 Hari,8 Jam,16-Apr-25,17-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Payroll Administration System,Accounting,2 Hari,8 Jam,18-Feb-25,19-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Rekonsiliasi & Ekualisasi Pengisian SPT PPh Badan,Accounting,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Total Cost Reduction (TCR),Accounting,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Contract Drafting And Contract Management,Accounting,2 Hari,8 Jam,16-Apr-25,17-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Legal Audit And Legal Opinion,Accounting,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Analysis Batu Bara,Coal Mining,2 Hari,8 Jam,13-Aug-25,14-ags-2025,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Meaning Feasibility Study,Coal Mining,2 Hari,8 Jam,07-Apr-25,08-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Reklamasi Pertambagan Batu Bara,Coal Mining,2 Hari,8 Jam,28-Apr-25,29-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Kualitas Batu Bara & Stock Pile Management,Coal Mining,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coal Fired Power Plant,Coal Mining,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coal Quality & Quality Control,Coal Mining,2 Hari,8 Jam,07-Mar-25,08-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Hukum Pertambangan & Minerals,Coal Mining,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Marine Safety Management,Coal Mining,2 Hari,8 Jam,10-Jul-25,11-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Management,Coal Mining,2 Hari,8 Jam,10-Jul-25,11-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Renewable Energy,Coal Mining,2 Hari,8 Jam,07-Mar-25,08-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Supplay Chain Management For Mining & Oil and Gas Industry,Coal Mining,2 Hari,8 Jam,09-Jan-25,10-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Upgrading Batubara,Coal Mining,2 Hari,8 Jam,20-Jan-25,21-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Service Exellence,Customer Services,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Model Customer Development (MCD),Customer Services,2 Hari,8 Jam,30-Jan-25,31-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
HouseKeeping Management,Customer Services,2 Hari,8 Jam,04-Feb-25,05-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Public Speaking and Presentation Skill,Customer Services,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Communication Skill For Sales,Customer Services,2 Hari,8 Jam,16-Apr-25,17-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Complain Handling Management,Customer Services,2 Hari,8 Jam,21-Apr-25,22-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Bisnis Retail,Customer Services,2 Hari,8 Jam,24-Apr-25,25-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Negotiation Skill & Effective Communication,Customer Services,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Communication Skill ,Customer Services,2 Hari,8 Jam,15-May-25,16-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Service For BPR,Customer Services,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Customer Servis Skill,Customer Services,2 Hari,8 Jam,10-Jun-25,11-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Service To Sales,Customer Services,2 Hari,8 Jam,17-Jun-25,18-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Selling Skills With NLP,Customer Services,2 Hari,8 Jam,19-Jun-25,20-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Complaint Resolution,Customer Services,2 Hari,8 Jam,19-Jun-25,20-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Attitudes For Service,Customer Services,2 Hari,8 Jam,25-Jun-25,26-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Service Fundamental,Customer Services,2 Hari,8 Jam,06-Oct-25,07-101-2025,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Front Liner Basic Skill,Customer Services,2 Hari,8 Jam,09-Oct-25,10-101-2025,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Marketing, Salesmanship & Customer Service",Customer Services,2 Hari,8 Jam,20-Oct-25,21-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Corporate Social Responsibility,Customer Services,2 Hari,8 Jam,05-Nov-25,06-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Managing Customer Complaint Effectively,Customer Services,2 Hari,8 Jam,11-Nov-25,12-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Call Center,Customer Services,2 Hari,8 Jam,18-Nov-25,19-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Marketing Planning,Customer Services,2 Hari,8 Jam,20-Nov-25,21-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Service,Customer Services,2 Hari,8 Jam,27-Nov-25,28-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Assertive Communication & Interpersonal Skill,Customer Services,2 Hari,8 Jam,09-Dec-25,10-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Service For Security,Customer Services,2 Hari,8 Jam,15-Dec-25,16-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Business And Plan Budgeting,Customer Services,2 Hari,8 Jam,22-Dec-25,23-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Counseling Skill,Customer Services,2 Hari,8 Jam,03-Dec-25,04-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Best Practice Customer Service For Frontliners,Customer Services,2 Hari,8 Jam,26-Aug-25,27-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Professional Receptionist And Operator,Customer Services,2 Hari,8 Jam,08-Sep-25,09-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Training Management,Customer Services,2 Hari,8 Jam,15-Sep-25,16-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Sales And Marketing,Customer Services,2 Hari,8 Jam,25-Sep-25,26-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Talent Management,Customer Services,2 Hari,8 Jam,21-Aug-25,22-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Contract Drafting And Contract Management & Legas Aspec,Customer Services,2 Hari,8 Jam,14-Aug-25,15-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Tender Management,Customer Services,2 Hari,8 Jam,11-Aug-25,12-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Public Speaking And Presentation Skil,Customer Services,2 Hari,8 Jam,06-Jul-25,07-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Legal Drafting & Writing,Customer Services,2 Hari,8 Jam,24-Jul-25,25-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Branding Product Strategy,Customer Services,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Asset Perusahaan,Customer Services,2 Hari,8 Jam,09-Jul-25,10-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Marketing Strategy & Busines Development,Customer Services,2 Hari,8 Jam,04-Jul-25,05-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer and Supplaier Reletionship,Customer Services,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Media Relation,Customer Services,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Training & Development,Customer Services,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Corporate Secretary,Customer Services,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Relationship Management,Customer Services,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Budaya Coorporate & Effectivitas Media Kehumasan,Customer Services,2 Hari,8 Jam,20-Jan-25,21-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Product Development,Sales & Marketing,2 Hari,8 Jam,16-Jun-25,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Sosial Media Marketing Strategy,Sales & Marketing,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Leading & Coaching Your Sales,Sales & Marketing,2 Hari,8 Jam,04-Feb-25,05-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Applied Marketing Research Using MS Excel,Sales & Marketing,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Reletinship Management,Sales & Marketing,2 Hari,8 Jam,21-Jan-25,22-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
How To Make Gread Sales Presentation & Negotiotion,Sales & Marketing,2 Hari,8 Jam,13-May-24,14-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Bussines Inteligent,Sales & Marketing,2 Hari,8 Jam,15-May-25,16-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Succes Negotiotion High Closing Rate Selling Skill,Sales & Marketing,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Salesmenship,Sales & Marketing,2 Hari,8 Jam,26-May-25,27-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Sales Skill,Sales & Marketing,2 Hari,8 Jam,08-May-25,09-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Selling Skill & Negotiotion For AE,Sales & Marketing,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Custame Focus Selling Skill,Sales & Marketing,2 Hari,8 Jam,12-Aug-25,13-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Sales Managemnt,Sales & Marketing,2 Hari,8 Jam,15-Jul-25,16-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Sales Leadership & Coaching Skill,Sales & Marketing,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
The 7 selling Step For Salles People,Sales & Marketing,2 Hari,8 Jam,24-Jun-25,25-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Sales Canvas,Sales & Marketing,2 Hari,8 Jam,18-Jun-25,19-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Telemarketing Skill,Sales & Marketing,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Digital Marketing Strategy,Sales & Marketing,2 Hari,8 Jam,09-May-25,10-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Management For Oil & Gas,Oil & Gas,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Gas Management System,Oil & Gas,2 Hari,8 Jam,20-Feb-25,21-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electric Submersiele Pumping,Oil & Gas,2 Hari,8 Jam,23-Apr-25,24-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Inteligent Pigging,Oil & Gas,2 Hari,8 Jam,28-Apr-25,29-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pipe & Pipeline Technology,Oil & Gas,2 Hari,8 Jam,09-May-25,10-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Gas Dispersion Analysis,Oil & Gas,2 Hari,8 Jam,18-Jun-25,19-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Oil Transpormation Piping,Oil & Gas,2 Hari,8 Jam,09-Dec-25,10-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Oil & gas Handling Fasilities,Oil & Gas,2 Hari,8 Jam,20-Nov-25,21-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Oil & Gas Production System,Oil & Gas,2 Hari,8 Jam,18-Nov-25,19-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
H2S Awarennes,Oil & Gas,2 Hari,8 Jam,11-Nov-25,12-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Oil & Gas Measurment,Oil & Gas,2 Hari,8 Jam,15-Oct-25,16-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Gas Procesing & Equipment,Oil & Gas,2 Hari,8 Jam,14-Oct-25,15-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Hazard Indentification,Oil & Gas,2 Hari,8 Jam,07-Oct-25,08-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Casing & Cementing,Oil & Gas,2 Hari,8 Jam,12-Aug-25,13-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pigging Operation,Oil & Gas,2 Hari,8 Jam,09-May-25,10-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
